,fpx,fpy,fpz,fvx,fvy,fvz
167.0,589.3142,6828.979,8.574667e-05,0.4303368,0.1500257,9.256837e-08
168.0,588.1754,6815.532,8.670405e-05,0.4300599,0.1497242,9.25679e-08
169.0,584.5017,6798.032,8.768356e-05,0.4294935,0.1492501,9.217117e-08
170.0,578.8228,6780.322,8.871718e-05,0.4287896,0.1486802,9.170585e-08
171.0,570.3165,6767.106,8.975385e-05,0.427941,0.1481102,9.120761e-08
172.0,559.158,6761.576,9.073004e-05,0.4269995,0.1475684,9.07546e-08
173.0,547.0726,6756.718,9.16227e-05,0.4260432,0.1470645,9.039932e-08
174.0,534.061,6753.992,9.239656e-05,0.4250668,0.1465928,9.006757e-08
175.0,518.8108,6762.747,9.301806e-05,0.4240784,0.1461241,8.968395e-08
176.0,500.1577,6790.746,9.347134e-05,0.4230793,0.1456482,8.923362e-08
177.0,477.7661,6840.997,9.375151e-05,0.4220652,0.1451719,8.875554e-08
178.0,453.7812,6902.384,9.388007e-05,0.4210568,0.144726,8.83834e-08
179.0,425.0597,6998.876,9.37736e-05,0.4201487,0.1443895,8.794235e-08
180.0,407.5408,7046.181,9.352725e-05,0.4195256,0.1443823,8.8521e-08
181.0,386.0422,7136.405,9.286417e-05,0.419163,0.1445451,8.858253e-08
182.0,382.9878,7149.006,9.207651e-05,0.4193436,0.1451507,8.992751e-08
183.0,385.631,7147.988,9.100005e-05,0.4197196,0.1457667,9.076744e-08
184.0,385.3632,7177.485,8.97722e-05,0.4201601,0.1462349,9.089962e-08
185.0,389.6415,7203.892,8.848691e-05,0.4210116,0.1468468,9.153367e-08
186.0,395.3549,7232.229,8.714849e-05,0.4219097,0.1474788,9.200817e-08
187.0,404.3623,7256.153,8.58421e-05,0.4229839,0.148149,9.254973e-08
188.0,415.0923,7275.612,8.460979e-05,0.4240402,0.1487544,9.295541e-08
189.0,428.9657,7281.2,8.354323e-05,0.4250996,0.1493053,9.334453e-08
190.0,445.3991,7270.243,8.269841e-05,0.4260748,0.1497464,9.362125e-08
191.0,463.126,7247.766,8.210414e-05,0.4269721,0.1500707,9.377758e-08
192.0,481.959,7212.578,8.176739e-05,0.4277794,0.1503085,9.389476e-08
193.0,501.4033,7164.125,8.169781e-05,0.4284522,0.1504354,9.393387e-08
194.0,531.3647,7035.848,8.207164e-05,0.42888,0.1503627,9.423711e-08
195.0,542.7191,7006.81,8.244902e-05,0.4291494,0.1501972,9.342781e-08
196.0,559.7973,6925.463,8.316818e-05,0.4291875,0.1500189,9.345648e-08
197.0,565.5285,6905.365,8.386619e-05,0.4292418,0.1498289,9.294138e-08
198.0,567.0442,6890.802,8.468483e-05,0.4290172,0.1495356,9.25225e-08
199.0,570.3927,6857.95,8.561547e-05,0.4288054,0.1492188,9.241549e-08
200.0,569.4892,6831.421,8.658618e-05,0.4283006,0.1487582,9.194683e-08
201.0,565.795,6809.148,8.761724e-05,0.4276789,0.1482263,9.147558e-08
202.0,558.0464,6797.405,8.865577e-05,0.4268905,0.1476836,9.093322e-08
203.0,548.0811,6791.978,8.965278e-05,0.4260628,0.1471987,9.052434e-08
204.0,535.7728,6795.259,9.054206e-05,0.4252042,0.1467532,9.015095e-08
205.0,521.7767,6806.04,9.129907e-05,0.42435,0.1463321,8.982224e-08
206.0,505.1307,6829.341,9.19108e-05,0.423459,0.1458903,8.942344e-08
207.0,485.7746,6867.091,9.238432e-05,0.4225549,0.1454374,8.899812e-08
208.0,463.7749,6919.518,9.271823e-05,0.4216308,0.1449829,8.8568e-08
209.0,438.1603,6993.684,9.290633e-05,0.4207186,0.1445399,8.807318e-08
210.0,416.4049,7051.58,9.29645e-05,0.4198935,0.144256,8.807282e-08
211.0,396.5368,7105.984,9.283504e-05,0.4191516,0.1440486,8.807603e-08
212.0,380.5062,7152.891,9.250085e-05,0.4186542,0.1440479,8.832627e-08
213.0,370.9793,7184.647,9.19091e-05,0.4185206,0.1443825,8.897449e-08
214.0,371.5224,7184.418,9.108724e-05,0.4188019,0.144998,8.999419e-08
215.0,376.2299,7178.061,9.004834e-05,0.4192614,0.1455902,9.068377e-08
216.0,380.1076,7190.709,8.88919e-05,0.4198438,0.1460753,9.096363e-08
217.0,381.1541,7240.645,8.759296e-05,0.4207583,0.1467084,9.126642e-08
218.0,389.4724,7250.97,8.642736e-05,0.4215536,0.1472316,9.185108e-08
219.0,404.7861,7242.701,8.529036e-05,0.4227401,0.1479287,9.268562e-08
220.0,418.4261,7242.868,8.41828e-05,0.4237322,0.1485114,9.292968e-08
221.0,434.9382,7232.083,8.325442e-05,0.4247636,0.1490299,9.328036e-08
222.0,452.0349,7215.191,8.251239e-05,0.4256991,0.1494498,9.348035e-08
223.0,470.1371,7189.763,8.199301e-05,0.4265828,0.149786,9.365133e-08
224.0,488.3889,7157.053,8.169635e-05,0.4273718,0.1500321,9.374565e-08
225.0,506.7264,7114.343,8.164504e-05,0.428029,0.1501652,9.376605e-08
226.0,532.5952,7010.754,8.197077e-05,0.4284564,0.1501158,9.397359e-08
227.0,544.0325,6982.026,8.234991e-05,0.4287534,0.1499977,9.332285e-08
228.0,561.1717,6900.982,8.30554e-05,0.4288092,0.1498346,9.336674e-08
229.0,566.3053,6885.481,8.372659e-05,0.4288843,0.1496621,9.283094e-08
230.0,571.7274,6843.189,8.462011e-05,0.428545,0.149266,9.251621e-08
231.0,571.6587,6833.668,8.548477e-05,0.4284241,0.1490077,9.219313e-08
232.0,566.5444,6832.662,8.638218e-05,0.427936,0.1486392,9.168147e-08
233.0,562.2639,6822.407,8.732615e-05,0.4274958,0.148258,9.147691e-08
234.0,554.5197,6816.826,8.825793e-05,0.4268223,0.1477708,9.10097e-08
235.0,544.6997,6815.937,8.91801e-05,0.4260859,0.1472834,9.058683e-08
236.0,531.9921,6824.061,9.005663e-05,0.4252497,0.1468107,9.0126e-08
237.0,519.3966,6833.009,9.078251e-05,0.4245279,0.1464963,8.997966e-08
238.0,501.374,6864.962,9.136064e-05,0.4235821,0.1460074,8.94096e-08
239.0,481.1984,6909.769,9.185573e-05,0.4227253,0.1455205,8.896651e-08
240.0,458.91,6966.165,9.220029e-05,0.4218398,0.1451147,8.859974e-08
241.0,433.2146,7044.754,9.238904e-05,0.4209925,0.1447269,8.815891e-08
242.0,413.0057,7096.111,9.247633e-05,0.4202192,0.144452,8.823688e-08
