,fpx,fpy,fpz,fvx,fvy,fvz
185.0,97.13674,1792.012,2.247794e-05,0.1563005,0.05383141,3.283951e-08
186.0,98.05026,1798.48,2.216885e-05,0.1566612,0.05407137,3.307455e-08
187.0,99.29017,1805.603,2.184327e-05,0.1570314,0.05431435,3.325024e-08
188.0,101.3399,1811.744,2.152356e-05,0.1574582,0.05457234,3.345233e-08
189.0,103.8502,1816.815,2.121889e-05,0.1578726,0.05480968,3.36143e-08
190.0,107.149,1818.587,2.095132e-05,0.1582781,0.05502672,3.37711e-08
191.0,111.1537,1816.135,2.073497e-05,0.1586442,0.05520379,3.389381e-08
192.0,115.5268,1810.745,2.057762e-05,0.1589687,0.05533535,3.397027e-08
193.0,120.2028,1802.219,2.048196e-05,0.1592476,0.05543016,3.402925e-08
194.0,126.323,1782.846,2.046522e-05,0.1594694,0.05547808,3.413549e-08
195.0,130.3923,1772.215,2.049524e-05,0.1595952,0.05545074,3.399371e-08
196.0,136.7695,1743.37,2.063311e-05,0.1596266,0.0553948,3.40702e-08
197.0,139.1179,1736.978,2.075803e-05,0.1596371,0.05533605,3.384018e-08
198.0,142.1096,1720.888,2.09546e-05,0.1595103,0.05520458,3.378054e-08
199.0,142.9396,1717.027,2.11487e-05,0.1594358,0.05510054,3.361794e-08
200.0,142.6102,1714.982,2.136003e-05,0.1592416,0.05496444,3.345319e-08
201.0,143.0039,1707.34,2.159629e-05,0.1590722,0.0548241,3.341993e-08
202.0,142.1408,1702.364,2.183429e-05,0.158792,0.05462276,3.322237e-08
203.0,140.6449,1698.625,2.208281e-05,0.1584926,0.05440682,3.304373e-08
204.0,138.2405,1697.376,2.232586e-05,0.1581521,0.05419971,3.284963e-08
205.0,135.4023,1697.561,2.255155e-05,0.1578198,0.05402028,3.270829e-08
206.0,132.0039,1700.015,2.274654e-05,0.1574903,0.05385289,3.256712e-08
207.0,128.0387,1705.16,2.290781e-05,0.1571678,0.05368761,3.242154e-08
208.0,123.3515,1714.001,2.303421e-05,0.1568494,0.05352101,3.225742e-08
209.0,117.9946,1726.617,2.312577e-05,0.1565407,0.05335937,3.209571e-08
210.0,111.7316,1744.585,2.318123e-05,0.1562475,0.05320462,3.191157e-08
211.0,106.4117,1758.381,2.320629e-05,0.1559932,0.053106,3.190104e-08
212.0,101.4645,1771.508,2.318722e-05,0.1557684,0.05303087,3.188197e-08
213.0,97.26682,1783.555,2.311953e-05,0.1556292,0.0530267,3.194023e-08
214.0,94.54537,1792.214,2.299066e-05,0.1556188,0.05314173,3.214405e-08
215.0,94.38947,1792.722,2.280345e-05,0.1557736,0.05337775,3.251362e-08
216.0,95.33552,1791.025,2.256026e-05,0.155982,0.05360147,3.276542e-08
217.0,95.90663,1795.063,2.228529e-05,0.1562324,0.05378727,3.285177e-08
218.0,95.98242,1807.661,2.197113e-05,0.15662,0.05404251,3.299021e-08
219.0,97.87566,1810.171,2.168495e-05,0.1569438,0.05424696,3.321174e-08
220.0,101.5544,1807.963,2.14058e-05,0.15741,0.05451402,3.352098e-08
221.0,104.8582,1807.834,2.112996e-05,0.1577962,0.05474261,3.362696e-08
222.0,108.9056,1805.108,2.089437e-05,0.1581889,0.05495007,3.377405e-08
223.0,113.084,1801.224,2.070003e-05,0.1585358,0.05511845,3.386449e-08
224.0,117.5035,1795.417,2.055846e-05,0.1588497,0.05525054,3.393972e-08
225.0,122.0027,1787.798,2.047039e-05,0.1591188,0.05534729,3.399074e-08
226.0,126.4794,1778.217,2.044011e-05,0.1593311,0.05540099,3.401046e-08
227.0,132.6598,1754.825,2.049878e-05,0.1594549,0.05538694,3.40903e-08
228.0,135.7479,1747.035,2.057898e-05,0.1595163,0.05533834,3.388744e-08
229.0,140.4561,1725.118,2.07444e-05,0.1594869,0.05526746,3.392052e-08
230.0,141.9576,1720.908,2.08993e-05,0.1594589,0.05519591,3.371982e-08
231.0,143.6346,1709.615,2.111059e-05,0.1592855,0.05504208,3.361879e-08
232.0,143.8043,1707.199,2.131577e-05,0.1591872,0.05493396,3.349106e-08
233.0,142.8027,1706.545,2.153156e-05,0.1589667,0.05478656,3.331137e-08
234.0,142.0056,1703.573,2.175952e-05,0.1587681,0.05463752,3.323641e-08
235.0,140.2777,1702.2,2.198522e-05,0.158494,0.05444805,3.305966e-08
236.0,138.3475,1699.168,2.222711e-05,0.1581717,0.05423521,3.289385e-08
237.0,135.7252,1700.215,2.243413e-05,0.1579116,0.05410101,3.27821e-08
238.0,131.569,1707.666,2.261367e-05,0.1575724,0.05392511,3.255072e-08
239.0,128.0712,1712.082,2.277136e-05,0.1573174,0.05379185,3.251099e-08
240.0,123.1691,1722.384,2.289063e-05,0.1569845,0.05360655,3.229079e-08
241.0,117.8146,1735.401,2.299361e-05,0.156687,0.05342688,3.212186e-08
242.0,111.3396,1755.488,2.305136e-05,0.1564153,0.05329616,3.194642e-08
243.0,106.8745,1764.834,2.309116e-05,0.1561723,0.05321012,3.20189e-08
244.0,101.6786,1779.087,2.308389e-05,0.1559337,0.05310567,3.189977e-08
245.0,97.86908,1789.089,2.303898e-05,0.1558063,0.0531118,3.200121e-08
246.0,95.6901,1794.087,2.293468e-05,0.1557886,0.05322002,3.221489e-08
247.0,95.72707,1792.512,2.277334e-05,0.1559265,0.05343089,3.254129e-08
248.0,96.96178,1788.291,2.25554e-05,0.1561227,0.05365041,3.280054e-08
249.0,98.39366,1787.127,2.230564e-05,0.1563883,0.05385802,3.294725e-08
250.0,100.8555,1785.473,2.203206e-05,0.1567911,0.05413097,3.320373e-08
251.0,103.3466,1784.536,2.175382e-05,0.1571248,0.05433148,3.332996e-08
252.0,106.8847,1783.863,2.146469e-05,0.1576189,0.05462786,3.361132e-08
253.0,110.2432,1782.355,2.120187e-05,0.1579692,0.05481739,3.368224e-08
254.0,114.9516,1777.036,2.097508e-05,0.1584106,0.05505129,3.390628e-08
255.0,119.1264,1773.257,2.077353e-05,0.1587563,0.05522562,3.396852e-08
256.0,123.4498,1768.348,2.062742e-05,0.1590724,0.05535471,3.402761e-08
257.0,127.5589,1763.064,2.053183e-05,0.1593325,0.05544739,3.405689e-08
258.0,131.4913,1756.892,2.049106e-05,0.1595377,0.0555037,3.406741e-08
259.0,135.6042,1746.582,2.051012e-05,0.1596681,0.05550239,3.407317e-08
260.0,138.4143,1740.834,2.057901e-05,0.1597306,0.05545882,3.395667e-08
261.0,142.2456,1724.832,2.072215e-05,0.1597122,0.05539523,3.396005e-08
262.0,144.01,1719.637,2.087205e-05,0.1596949,0.05533486,3.382218e-08
263.0,146.3794,1704.784,2.108389e-05,0.1595328,0.05519037,3.375139e-08
264.0,146.8779,1701.39,2.128335e-05,0.1594579,0.05510059,3.361685e-08
265.0,146.3028,1699.562,2.149028e-05,0.1592702,0.05498175,3.346527e-08
266.0,145.9574,1695.557,2.170636e-05,0.1591107,0.05485788,3.341153e-08
267.0,144.6485,1693.619,2.19182e-05,0.1588829,0.05469451,3.325278e-08
268.0,143.1644,1690.226,2.214324e-05,0.1586158,0.0545127,3.311394e-08
269.0,140.7636,1692.22,2.233263e-05,0.1584027,0.0544007,3.300356e-08
270.0,137.0973,1699.383,2.249908e-05,0.1581253,0.05425579,3.281251e-08
271.0,133.9313,1704.313,2.264381e-05,0.1579207,0.05414769,3.277918e-08
272.0,129.0063,1717.538,2.275383e-05,0.1576519,0.05399146,3.255038e-08
273.0,125.0417,1725.535,2.285576e-05,0.1574354,0.05386564,3.252014e-08
274.0,119.6918,1740.723,2.292017e-05,0.1571785,0.05372592,3.232729e-08
275.0,115.6563,1749.147,2.29751e-05,0.1569685,0.05362664,3.233866e-08
276.0,111.0763,1761.639,2.298461e-05,0.1567688,0.05355574,3.225687e-08
277.0,107.6664,1770.241,2.296125e-05,0.1566501,0.05355662,3.233736e-08
278.0,105.6527,1774.377,2.288795e-05,0.1566237,0.05363459,3.250593e-08
279.0,105.2979,1773.643,2.276397e-05,0.1567092,0.05378743,3.274436e-08
280.0,106.705,1768.547,2.258667e-05,0.1569245,0.05402253,3.305038e-08
281.0,109.7251,1758.335,2.237291e-05,0.1572238,0.05427625,3.333941e-08
282.0,112.106,1754.519,2.212964e-05,0.1575111,0.05446826,3.342312e-08
283.0,116.3561,1744.944,2.188717e-05,0.157946,0.05473329,3.372318e-08
284.0,119.771,1740.441,2.163451e-05,0.1582918,0.05495017,3.379789e-08
285.0,123.9034,1734.754,2.140611e-05,0.1586729,0.05514597,3.396372e-08
286.0,127.819,1732.487,2.117157e-05,0.1590723,0.05537278,3.411205e-08
287.0,131.5723,1729.095,2.098954e-05,0.1593716,0.0555,3.41329e-08
